acctnum	gender	state	zip
10204	F	MD	21108
10205	F	NJ	07760
10206	M	ME	04107
10207	F	NJ	07305
10208	F	NJ	08080
10209	F	NY	10549
10210	M	NJ	07012
10211	F	MD	20639
10212	F	NJ	08648
10213	F	NJ	07508
10214	M	PA	19460
10215	M	NJ	07726
10216	M	MD	21043
10217	M	NY	11434
10218	F	PA	15205
10219	F	MD	21234
10220	M	MA	01890
10221	F	MA	01960
10222	F	PA	19606
10223	F	MA	01236
10224	F	NY	10301
10225	F	NJ	08332
10226	F	MA	02368
10227	F	NJ	08889
10228	M	PA	17055
10229	F	NY	11542
10230	M	PA	15238
10231	M	CT	06226
10232	F	NY	14218
10233	M	PA	15056
10234	F	NY	11365
10235	M	MD	21044
10236	M	PA	15108
10237	M	NJ	07010
10238	F	NY	14072
10239	F	MD	21042
10240	F	CT	06488
10241	F	NY	11224
10242	M	PA	16648
10243	M	MA	02062
10244	M	PA	19355
10245	M	NJ	07724
10246	M	NJ	07109
10247	F	NY	12538
10248	M	CT	06905
10249	F	PA	17057
10250	F	NJ	07481
10251	F	PA	19111
10252	F	MD	21234
10253	M	MA	02050
10254	F	MD	21144
10255	F	NJ	08831
10256	F	NJ	08882
10257	F	NY	11040
10258	M	PA	18471
10259	M	NY	11001
10260	M	NJ	08247
10261	F	PA	19128
10262	F	CT	06082
10263	M	NJ	07760
10264	F	NJ	07480
10265	F	PA	15101
10266	F	NJ	08033
10267	F	MD	21222
10268	M	MA	01886
10269	M	MD	21133
10270	F	NY	11703
10271	F	NJ	08733
10272	M	NY	11710
10273	F	NY	11566
10274	F	NY	11797
10275	F	NJ	08043
10276	F	NJ	08865
10277	F	NJ	07730
10278	F	PA	19006
10279	F	PA	19320
10280	M	NJ	07110
10281	F	CT	06810
10282	M	NJ	08755
10283	F	NJ	07712
10284	F	MA	01834
10285	M	VT	05855
10286	M	NY	10304
10287	M	MA	02720
10288	M	NY	10461
10289	F	NJ	07052
10290	F	NY	10710
10291	F	NY	10970
10292	F	NY	11357
10293	M	NJ	08751
10294	F	NJ	08071
10295	M	MA	02332
10296	M	NJ	07002
10297	F	MD	20769
10298	F	NJ	08037
10299	F	MA	02035
10300	F	PA	19609
10301	M	NY	10304
10302	M	PA	19116
10303	F	MD	21122
10304	F	PA	18103
10305	M	NY	10970
10306	M	PA	18103
10307	M	NY	11501
10308	F	NJ	08872
10309	F	NY	10954
10310	F	PA	17356
10311	F	DE	19804
10312	F	MA	02072
10313	M	MD	20815
10314	F	NY	11554
10315	F	PA	19072
10316	M	NY	11234
10317	F	NY	13903
10318	M	NY	13215
10319	M	NY	11210
10320	F	NY	11372
10321	F	NJ	07930
10322	F	NJ	08525
10323	M	NJ	07470
10324	F	NY	11412
10325	M	NJ	07940
10326	F	NJ	08558
10327	F	NY	12581
10328	F	NJ	08012
10329	F	MD	21219
10330	M	PA	18954
10331	F	CT	06351
10332	M	NY	14202
10333	F	NY	13041
10334	M	NY	11236
10335	F	NY	11354
10336	M	MD	21012
10337	F	NJ	08015
10338	F	NH	03087
10339	F	NY	11530
10340	F	NJ	07052
10341	F	MD	21209
10342	M	MD	20901
10343	F	NY	11218
10344	F	NY	11703
10345	F	NY	10037
10346	F	NY	11746
10347	F	NY	11530
10348	F	MD	20851
10349	F	NY	11417
10350	M	ME	04538
10351	F	PA	19464
10352	F	NY	10314
10353	M	NY	11801
10354	M	NY	10022
10355	M	NY	12077
10356	M	NJ	07410
10357	F	PA	19335
10358	F	NY	14616
10359	M	MA	01020
10360	F	NJ	07762
10361	M	RI	02879
10362	F	NY	13740
10363	M	MA	01960
10364	F	CT	06525
10365	F	NY	10128
10366	F	CT	06897
10367	F	NY	11355
10368	F	CT	06001
10369	F	PA	19382
10370	F	NJ	07470
10371	F	NY	11733
10372	F	NY	11753
10373	F	MD	20716
10374	F	PA	17109
10375	F	MD	21144
10376	F	PA	19076
10377	F	MA	01852
10378	F	ME	04901
10379	F	MA	02632
10380	F	NY	12564
10381	F	PA	19149
10382	F	NY	11747
10383	M	NJ	07054
10384	M	RI	02806
10385	F	PA	18966
10386	F	NY	14214
10387	M	NY	11753
10388	F	MA	02132
10389	F	PA	19083
10390	F	NY	14150
10391	F	NY	12065
10392	F	NJ	08801
10393	F	MD	20906
10394	F	PA	18704
10395	M	NJ	07087
10396	F	NY	11510
10397	F	PA	18102
10398	M	MA	01907
10399	F	NY	10011
10400	M	NY	14454
10401	F	PA	18657
10402	F	NY	10965
10403	F	DE	19971
10404	F	NY	11568
10405	M	NJ	08080
10406	F	NH	03054
10407	F	NY	11375
10408	F	NY	12550
10409	F	MA	01453
10410	F	NJ	08619
10411	F	PA	18052
10412	F	MA	01754
10413	M	PA	16134
10414	M	PA	15235
10415	M	DE	19711
10416	F	NJ	07601
10417	M	MA	01810
10418	M	CT	06877
10419	M	DE	19803
10420	F	DC	20003
10421	F	NY	11434
10422	F	NJ	07604
10423	F	PA	16511
10424	M	PA	19606
10425	F	NY	10965
10426	F	NY	11369
10427	F	NY	10010
10428	M	MA	02038
10429	M	MA	02148
10430	F	MA	02650
10431	F	PA	19026
10432	F	PA	19401
10433	F	NY	11756
10434	F	MA	02072
10435	F	NJ	07008
10436	M	MD	20715
10437	M	PA	18974
10438	F	NY	10453
10439	M	NY	10532
10440	F	NY	14809
10441	F	CT	06511
10442	M	NY	11234
10443	F	PA	17048
10444	F	NY	10301
10445	F	CT	06840
10446	M	NJ	07029
10447	M	NJ	07470
10448	F	PA	18436
10449	F	PA	16803
10450	F	MD	20733
10451	M	NY	10306
10452	F	RI	02837
10453	F	NJ	08530
10454	F	MD	21047
10455	F	NJ	07003
10456	M	NY	10705
10457	F	NY	13103
10458	M	PA	19004
10459	F	VA	20164
10460	F	NY	10548
10461	M	NY	11791
10462	F	MA	02360
10463	F	NY	11354
10464	M	VT	05751
10465	M	NY	11790
10466	M	CT	06457
10467	M	NY	13309
10468	F	PA	19050
10469	F	NY	12580
10470	F	NY	11001
10471	F	NY	11937
10472	F	NY	11235
10473	F	NJ	08081
10474	F	PA	18966
10475	F	MD	21035
10476	M	CT	06810
10477	M	NY	10954
10478	F	NY	11554
10479	F	CT	06432
10480	F	NJ	07607
10481	F	NJ	07035
10482	M	NY	10603
10483	F	NY	14025
10484	F	MA	02186
10485	M	NJ	07932
10486	F	NJ	07751
10487	F	PA	19050
10488	F	MD	20817
10489	F	NJ	07760
10490	F	PA	15101
10491	M	NJ	07424
10492	F	ME	04679
10493	M	PA	19403
10494	M	NY	12405
10495	F	PA	19114
10496	F	NY	11357
10497	M	MD	20906
10498	M	PA	18643
10499	M	NY	11570
10500	F	NY	14020
10501	M	NY	11520
10502	M	PA	15632
10503	M	NJ	07202
10504	F	PA	19020
10505	F	DC	20003
10506	F	NJ	07747
10507	M	NY	12084
10508	F	NY	11722
10509	F	NJ	07083
10510	F	NJ	08820
10511	F	NH	03246
10512	F	NJ	07421
10513	F	NJ	07748
10514	F	NY	11213
10515	M	NY	10710
10516	M	MA	02136
10517	F	RI	02920
10518	M	NY	11577
10519	F	PA	19382
10520	F	NY	10954
10521	M	NJ	07644
10522	M	DE	19970
10523	F	NY	13152
10524	F	NY	11942
10525	F	PA	18052
10526	F	MA	02632
10527	F	NJ	07436
10528	F	VA	20164
10529	F	NY	14086
10530	M	NY	11001
10531	M	MD	20902
10532	F	NY	10573
10533	F	DC	20016
10534	M	NJ	08088
10535	M	NJ	08540
10536	M	NY	13027
10537	F	NY	10541
10538	F	PA	19380
10539	F	MA	01379
10540	F	MD	21234
10541	F	NJ	07062
10542	M	DE	19720
10543	F	NY	10032
10544	F	PA	19086
10545	M	DC	20019
10546	F	NY	11368
10547	M	NY	10314
10548	F	PA	18977
10549	M	MD	21210
10550	F	NJ	08755
10551	F	NY	12302
10552	F	PA	19403
10553	F	NY	10451
10554	M	NY	11733
10555	F	DC	20002
10556	F	MA	02645
10557	M	NJ	07002
10558	M	PA	19103
10559	M	PA	19143
10560	F	PA	19090
10561	F	PA	19116
10562	F	MD	21208
10563	F	NY	11001
10564	F	PA	19086
10565	M	NY	10306
10566	M	PA	18629
10567	F	NY	11355
10568	F	DC	20016
10569	F	MD	21060
10570	F	MD	20906
10571	M	NY	11001
10572	M	MA	02649
10573	F	NY	14840
10574	F	DE	19940
10575	F	PA	18510
10576	F	MA	01077
10577	M	NY	11795
10578	F	PA	17562
10579	M	NJ	07438
10580	F	PA	19087
10581	F	NY	12149
10582	F	MA	01821
10583	F	NJ	07642
10584	M	PA	19508
10585	F	NY	11952
10586	M	NY	10025
10587	F	PA	19072
10588	F	CT	06798
10589	F	NY	10128
10590	F	NY	11697
10591	F	MD	21209
10592	F	PA	19050
10593	M	PA	19462
10594	F	PA	17901
10595	M	RI	02864
10596	F	PA	15238
10597	F	MA	01510
10598	F	NY	11412
10599	F	DE	19713
10600	F	NY	10024
10601	F	NY	10548
10602	F	PA	18509
10603	F	PA	19040
10604	F	CT	06119
10605	F	PA	19073
10606	F	NY	11234
10607	F	NY	11356
10608	F	RI	02806
10609	F	NY	11704
10610	F	PA	17309
10611	M	DC	20011
10612	F	RI	02809
10613	M	NJ	07470
10614	M	NY	11554
10615	M	NJ	08402
10616	F	NY	11103
10617	M	PA	15206
10618	M	NY	11758
10619	F	DE	19808
10620	M	NJ	08822
10621	M	NJ	08090
10622	F	MA	02148
10623	M	MD	21012
10624	F	NY	11373
10625	F	NY	11718
10626	M	DC	20012
10627	F	PA	18353
10628	M	NY	12117
10629	F	NY	11235
10630	F	NJ	07410
10631	F	MD	20783
10632	M	PA	15122
10633	F	NY	11214
10634	F	CT	06420
10635	F	NY	11746
10636	F	PA	18949
10637	F	NJ	08088
10638	M	MD	21239
10639	F	PA	19119
10640	F	NY	11788
10641	F	MA	02061
10642	M	CT	06082
10643	M	NY	13304
10644	F	NY	11788
10645	M	NY	10588
10646	M	PA	18940
10647	M	NJ	08731
10648	M	NJ	07024
10649	F	NY	11575
10650	F	NJ	08820
10651	M	NY	11375
10652	F	DE	19803
10653	F	NY	10030
10654	F	NJ	07737
10655	F	NJ	08701
10656	F	MD	20705
10657	F	NJ	08831
10658	F	NJ	07058
10659	F	MD	20720
10660	M	NY	11557
10661	F	MD	21131
10662	M	NJ	08107
10663	M	NJ	07105
10664	F	NJ	08808
10665	F	MD	21163
10666	M	ME	04640
10667	F	DE	19810
10668	F	CT	06907
10669	F	NY	10044
10670	F	NY	10954
10671	M	NY	10705
10672	F	NY	10314
10673	F	NJ	08884
10674	F	PA	19348
10675	F	NY	14617
10676	F	PA	19111
10677	F	NY	14025
10678	F	NJ	07036
10679	M	NY	10016
10680	F	NJ	07726
10681	F	MD	21060
10682	F	NY	11762
10683	F	NY	13212
10684	M	NJ	07662
10685	F	NJ	07001
10686	M	MA	01379
10687	M	NJ	08751
10688	F	CT	06033
10689	F	NY	10509
10690	F	PA	17019
10691	F	NJ	07836
10692	F	NJ	08054
10693	F	NY	11566
10694	F	NJ	08056
10695	F	MA	01760
10696	F	NY	14034
10697	F	NJ	07036
10698	F	DC	20037
10699	F	NY	11235
10700	F	PA	17701
10701	F	NJ	08057
10702	F	NJ	07661
10703	F	NJ	08520
10704	F	PA	17603
10705	F	MD	20877
10706	F	NJ	08638
10707	F	NJ	07601
10708	M	NY	12414
10709	F	PA	19078
10710	F	NY	12553
10711	F	MD	21160
10712	F	NJ	07901
10713	F	DE	19958
10714	M	NY	11201
10715	F	NY	11375
10716	F	NY	14092
10717	F	NY	14224
10718	F	NY	14227
10719	M	NY	11234
10720	F	NY	11501
10721	F	MA	02171
10722	F	PA	19083
10723	F	PA	18940
10724	F	MA	02360
10725	M	NY	11201
10726	F	MD	21209
10727	F	NY	10549
10728	M	MD	21208
10729	F	NY	11221
10730	F	NY	11940
10731	M	NJ	07067
10732	F	NJ	07740
10733	M	NY	11420
10734	F	NY	11230
10735	F	NY	14221
10736	M	NJ	08078
10737	M	MA	02148
10738	F	CT	06497
10739	F	PA	19401
10740	F	NY	12183
10741	M	MD	20879
10742	F	NY	10463
10743	F	PA	19136
10744	M	NJ	07826
10745	M	NJ	08008
10746	F	NJ	08201
10747	M	PA	15142
10748	F	NY	10022
10749	M	NJ	08733
10750	F	CT	06851
10751	M	NY	10465
10752	F	NY	10016
10753	F	PA	15228
10754	F	NY	11210
10755	F	VA	20164
10756	M	NJ	07110
10757	F	NY	10925
10758	M	NY	14225
10759	F	NJ	08527
10760	M	NJ	08008
10761	F	MD	20855
10762	F	NJ	07470
10763	F	PA	15736
10764	M	NY	11210
10765	M	CT	06010
10766	F	CT	06268
10767	F	NY	10309
10768	F	PA	17018
10769	F	MA	02062
10770	M	NJ	08540
10771	F	NJ	07823
10772	F	NJ	08090
10773	F	PA	17603
10774	F	NJ	08872
10775	F	NY	11234
10776	F	MA	02172
10777	M	CT	06850
10778	M	DE	19901
10779	F	NJ	07405
10780	F	NJ	07642
10781	F	PA	18431
10782	M	PA	19143
10783	M	NY	11743
10784	M	NJ	07067
10785	M	MD	21044
10786	F	PA	18360
10787	M	NJ	08721
10788	M	PA	19007
10789	F	NY	11414
10790	F	PA	16685
10791	M	NY	10461
10792	M	NY	10580
10793	M	NY	11757
10794	M	PA	19064
10795	F	NY	12603
10796	F	NJ	08085
10797	F	NY	14519
10798	M	NY	11743
10799	F	MD	21046
10800	F	NJ	08221
10801	F	RI	02919
10802	M	NY	10548
10803	M	NJ	07869
10804	F	DC	20011
10805	F	NY	11709
10806	F	NJ	08817
10807	F	CT	06779
10808	M	NY	10504
10809	F	NY	10954
10810	F	PA	15601
10811	M	NY	11801
10812	M	NH	03110
10813	M	PA	15122
10814	M	NY	11596
10815	F	CT	06611
10816	F	PA	19111
10817	F	PA	17552
10818	M	NY	11772
10819	F	NJ	08232
10820	M	NJ	08054
10821	F	CT	06497
10822	M	NY	11778
10823	F	NJ	08724
10824	M	PA	19481
10825	F	CT	06040
10826	M	NY	11935
10827	M	NY	11791
10828	F	PA	19422
10829	F	NY	11725
10830	F	NJ	07059
10831	M	NJ	07753
10832	M	MA	02536
10833	F	NY	11980
10834	F	MD	20772
10835	M	NJ	07931
10836	M	NY	10923
10837	F	CT	06497
10838	M	NY	12865
10839	F	NJ	07094
10840	F	PA	15601
10841	F	NH	03842
10842	M	NJ	08203
10843	F	NJ	08724
10844	F	NJ	08757
10845	M	NY	11801
10846	M	PA	19067
10847	F	NY	11422
10848	F	NJ	08618
10849	M	MD	21157
10850	M	PA	19115
10851	F	NY	14136
10852	F	NY	10583
10853	M	NJ	07057
10854	M	PA	18914
10855	F	PA	19029
10856	M	NJ	08225
10857	M	PA	17551
10858	F	NY	10801
10859	M	NY	11229
10860	F	NH	03894
10861	F	NY	10536
10862	F	NY	11235
10863	F	NJ	07649
10864	F	PA	18037
10865	F	PA	19054
10866	M	NY	13021
10867	F	NY	10306
10868	F	CT	06037
10869	F	MD	20904
10870	M	CT	06840
10871	F	NY	10983
10872	M	NJ	07047
10873	M	MD	21224
10874	F	NH	03036
10875	M	PA	19111
10876	M	NJ	07001
10877	F	NY	10023
10878	F	CT	06851
10879	M	CT	06831
10880	F	MA	02122
10881	M	NY	11743
10882	F	MD	20735
10883	F	NJ	08723
10884	M	NY	11228
10885	M	MD	20895
10886	F	CT	06109
10887	F	NJ	07435
10888	F	NJ	07450
10889	M	NY	11758
10890	M	PA	17402
10891	F	NY	10701
10892	M	NY	11740
10893	F	NJ	08066
10894	F	NJ	07512
10895	M	MD	20905
10896	F	NJ	08219
10897	F	NY	10461
10898	F	NJ	07052
10899	F	MD	21061
10900	F	NJ	08302
10901	F	NY	13502
10902	F	NJ	07446
10903	M	NY	11732
10904	F	NY	10023
10905	F	MD	21014
10906	M	NY	11694
10907	F	NY	11772
10908	M	NY	11598
10909	F	NJ	07052
10910	F	NY	12078
10911	F	NY	11518
10912	M	NY	11510
10913	M	NJ	07871
10914	F	PA	15238
10915	F	NY	11746
10916	F	DE	19707
10917	F	PA	19143
10918	F	NJ	07901
10919	F	NJ	07109
10920	F	PA	15696
10921	F	MD	20707
10922	F	CT	06759
10923	F	NY	11725
10924	F	MA	01701
10925	F	ME	04611
10926	M	NY	13778
10927	F	MD	20784
10928	F	PA	19153
10929	F	NY	14710
10930	M	NH	03253
10931	F	NJ	07643
10932	F	NY	11763
10933	M	NJ	07644
10934	M	PA	15237
10935	M	MA	02659
10936	F	CT	06489
10937	F	NY	12037
10938	F	CT	06468
10939	F	NY	12498
10940	F	NY	11746
10941	F	NY	14220
10942	M	NY	10451
10943	F	NY	11354
10944	F	NY	10463
10945	F	NY	11220
10946	F	NH	03253
10947	F	NJ	07621
10948	F	NY	12477
10949	F	PA	19053
10950	F	NJ	07866
10951	M	NJ	07933
10952	F	MA	02536
10953	F	NJ	08904
10954	F	NJ	07624
10955	F	NY	11201
10956	F	NJ	07405
10957	M	PA	19115
10958	M	NJ	08724
10959	M	NY	10314
10960	M	NJ	08850
10961	F	MD	21028
10962	M	DE	19720
10963	M	MA	02159
10964	M	NJ	08012
10965	F	NY	11215
10966	M	NY	10989
10967	F	MA	02174
10968	M	NJ	07746
10969	F	NJ	07016
10970	F	NY	12020
10971	M	NY	11557
10972	M	NY	13088
10973	F	NY	10710
10974	F	NY	11788
10975	F	NY	12831
10976	M	PA	18052
10977	F	NY	11223
10978	F	MD	21219
10979	F	NJ	08034
10980	F	NH	03053
10981	F	NJ	07481
10982	F	NJ	07407
10983	F	NY	12779
10984	F	NY	11501
10985	F	PA	19453
10986	F	NJ	08007
10987	F	MA	02364
10988	F	NY	11355
10989	M	NY	11757
10990	M	MD	21093
10991	M	NJ	07712
10992	F	NJ	07470
10993	F	NJ	07010
10994	F	DE	19810
10995	M	MA	02158
10996	F	NY	11201
10997	M	PA	17402
10998	M	PA	19141
10999	F	NH	03287
11000	F	PA	19137
11001	F	PA	19444
11002	M	NJ	08016
11003	F	CT	06902
11004	F	NY	10509
11005	F	NY	10462
11006	F	NY	11553
11007	M	NY	11103
11008	F	NY	11971
11009	F	NY	11756
11010	F	NY	14609
11011	F	MA	01749
11012	F	NJ	08822
11013	F	ME	04848
11014	F	NY	11530
11015	M	NJ	08876
11016	M	DE	19810
11017	F	PA	19111
11018	F	NJ	07502
11019	M	NJ	08055
11020	F	PA	19120
11021	F	NY	11234
11022	M	NJ	07621
11023	M	PA	15042
11024	M	PA	19053
11025	F	NY	11021
11026	F	CT	06903
11027	F	PA	19610
11028	F	NY	14201
11029	M	NJ	07011
11030	F	NY	14904
11031	M	MA	02038
11032	M	MD	20852
11033	F	RI	02917
11034	M	NY	12020
11035	F	NY	10457
11036	F	CT	06457
11037	F	NY	11023
11038	F	NY	11767
11039	F	MD	21207
11040	F	MA	01908
11041	F	NY	11373
11042	M	NY	11768
11043	M	DE	19707
11044	M	RI	02806
11045	M	NY	14534
11046	M	MA	01776
11047	F	PA	19116
11048	F	PA	19444
11049	F	MD	21085
11050	F	NH	03894
11051	F	MD	21216
11052	F	NY	11771
11053	M	NY	11023
11054	M	NY	11956
11055	F	NJ	07974
11056	F	NY	12585
11057	M	DE	19804
11058	F	NJ	08060
11059	F	NY	11703
11060	F	NY	14224
11061	M	NY	11694
11062	F	MA	01020
11063	F	NY	10530
11064	M	NY	10128
11065	M	RI	02874
11066	F	PA	19342
11067	M	NY	13323
11068	M	NJ	08043
11069	F	NJ	07632
11070	F	MA	01930
11071	F	PA	19026
11072	F	PA	15697
11073	F	PA	19355
11074	F	MD	21090
11075	F	NH	03842
11076	M	MD	21042
11077	M	PA	15370
11078	F	NY	10510
11079	F	NY	12816
11080	M	PA	18042
11081	F	CT	06418
11082	F	MD	20732
11083	M	PA	19125
11084	F	PA	19151
11085	M	NY	10026
11086	F	NY	10553
11087	F	MD	21228
11088	M	MD	20905
11089	M	PA	19010
11090	F	NY	11741
11091	F	MD	21044
11092	F	NJ	08081
11093	F	PA	17241
11094	F	MD	21060
11095	F	PA	15236
11096	F	PA	19143
11097	M	NJ	08807
11098	F	MD	21222
11099	F	MD	20785
11100	F	MD	20815
11101	F	NY	11769
11102	M	NJ	07869
11103	F	NY	11572
11104	F	PA	19041
11105	F	NJ	08033
11106	M	NY	11572
11107	F	MA	02571
11108	F	NY	10021
11109	M	PA	19152
11110	M	NY	10009
11111	M	NY	14219
11112	M	NY	10306
11113	M	NJ	07111
11114	M	PA	18655
11115	F	NY	10028
11116	F	PA	19111
11117	F	PA	19008
11118	F	PA	19103
11119	F	NY	11779
11120	M	PA	19125
11121	F	NJ	07083
11122	F	CT	06840
11123	M	NJ	07043
11124	M	NY	13350
11125	F	CT	06109
11126	M	NJ	08232
11127	M	PA	18854
11128	M	NJ	08820
11129	F	PA	15340
11130	F	NY	10023
11131	F	NY	11364
11132	F	NY	13339
11133	F	PA	19111
11134	F	NY	10310
11135	M	NY	11566
11136	F	PA	17022
11137	M	NY	11004
11138	F	DC	20008
11139	F	NJ	07032
11140	F	NJ	08055
11141	F	NJ	08638
11142	M	NJ	08751
11143	M	NJ	07410
11144	F	NY	10566
11145	F	MA	02766
11146	M	NY	11030
11147	F	CT	06450
11148	F	NJ	08820
11149	F	NJ	08757
11150	M	NY	14216
11151	F	NJ	08533
11152	F	PA	19083
11153	F	NY	10549
11154	F	NY	11580
11155	F	CT	06497
11156	F	PA	18343
11157	M	MA	02132
11158	F	PA	16001
11159	F	PA	19121
11160	F	NJ	07034
11161	F	PA	15116
11162	F	NY	11375
11163	F	NJ	08854
11164	M	PA	19146
11165	F	NJ	07076
11166	F	NJ	07731
11167	M	NY	12309
11168	F	NY	11364
11169	F	MD	21030
11170	M	NJ	07006
11171	F	PA	17584
11172	F	VT	05033
11173	F	NY	10016
11174	M	MA	02190
11175	M	NJ	07628
11176	F	NJ	07071
11177	F	NY	10520
11178	F	NY	10960
11179	F	NY	11363
11180	F	NY	11207
11181	F	CT	06071
11182	F	NJ	07403
11183	F	NJ	07003
11184	F	NY	11207
11185	F	MD	20854
11186	F	MA	02174
11187	F	NJ	07631
11188	F	NJ	07063
11189	F	NY	10516
11190	F	NJ	07044
11191	M	NJ	07430
11192	F	NY	10470
11193	F	MD	21228
11194	F	NY	12601
11195	F	MA	01060
11196	M	MD	21009
11197	F	NY	14072
11198	F	NY	10548
11199	F	NY	11566
11200	M	NY	11581
11201	F	MD	21204
11202	F	CT	06437
11203	F	NJ	08007
11204	F	DC	20018
11205	M	NJ	07028
11206	F	NY	10280
11207	F	NJ	07940
11208	M	NY	10989
11209	F	MA	01950
11210	F	NJ	08733
11211	F	RI	02861
11212	M	VI	00823
11213	F	NY	11557
11214	M	MD	21208
11215	F	NY	11510
11216	F	NY	12177
11217	F	MD	21108
11218	F	NJ	08731
11219	M	NJ	07920
11220	F	NY	11560
11221	F	NY	10509
11222	F	NY	11742
11223	M	NJ	07731
11224	M	CT	06488
11225	M	DE	19711
11226	M	NY	14020
11227	F	MD	21209
11228	F	MD	21227
11229	F	PA	18042
11230	F	NY	11793
11231	F	NY	11426
11232	M	MA	01864
11233	F	NJ	07042
11234	F	NJ	08733
11235	F	NJ	07650
11236	F	NY	11570
11237	M	PA	19083
11238	M	MD	21037
11239	F	CT	06378
11240	M	NY	10463
11241	F	PA	19335
11242	M	VT	05463
11243	F	PA	16509
11244	F	NJ	07866
11245	M	NJ	07607
